sentence,prompt
Major League Baseball,Major League Baseball is an other entity .
Major League Baseball,Major is not a named entity .
Major League Baseball,Baseball is not a named entity .
"France expels African "","" Air France unions protest .",France is a location entity .
"France expels African "","" Air France unions protest .",African is an other entity .
"France expels African "","" Air France unions protest .",Air France is an organization entity .
"France expels African "","" Air France unions protest .","African "","" Air France unions protest . is not a named entity ."
"France expels African "","" Air France unions protest .","African "","" Air is not a named entity ."
"France expels African "","" Air France unions protest .",Air France unions protest is not a named entity .
"France expels African "","" Air France unions protest .",unions protest . is not a named entity .
"France expels African "","" Air France unions protest .",""","" is not a named entity ."
"France expels African "","" Air France unions protest .",Air France unions is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,Philippines is a location entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,Philippine is a location entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,Moro National Liberation Front is an organization entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,MNLF is an organization entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,is is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,set to end almost is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,the Moro National Liberation Front is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,be initialed on Friday after delegates is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,which is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,delegates from the Philippine government is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,on Friday after delegates from is not a named entity .
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,peace to the southern Philippines is is not a named entity .
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",FTO is an organization entity .
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",EOE is an organization entity .
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",10 is not a named entity .
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",brokers involved in the initiative needed time to is not a named entity .
