sentence,prompt
Wrexham 2 0 2 0 5 5 2,"TL;DR , Wrexham is an organization entity ."
Wrexham 2 0 2 0 5 5 2,"TL;DR , 0 2 0 5 5 2 is not a named entity ."
Wrexham 2 0 2 0 5 5 2,"TL;DR , 5 is not a named entity ."
Russian judge stabbed to death over $ 7 fine .,"TL;DR , Russian is an other entity ."
Russian judge stabbed to death over $ 7 fine .,"TL;DR , death over $ is not a named entity ."
Russian judge stabbed to death over $ 7 fine .,"TL;DR , 7 fine . is not a named entity ."
Two die in Algeria restaurant blast - radio .,"TL;DR , Algeria is a location entity ."
Two die in Algeria restaurant blast - radio .,"TL;DR , Algeria restaurant blast - radio . is not a named entity ."
Two die in Algeria restaurant blast - radio .,"TL;DR , die is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , Keith O'Neill is a person entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , Norwich City is an organization entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , Niall Quinn is a person entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , of Norwich City is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , Keith O'Neill of Norwich is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , joins Niall Quinn up front . is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , of is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , Norwich City joins Niall Quinn up is not a named entity ."
Keith O'Neill of Norwich City joins Niall Quinn up front .,"TL;DR , O'Neill of Norwich City is not a named entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , Woods is a person entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , U.S. Amateur Championship is an other entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , seventh holes and double-bogeying the par-four is not a named entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , "","" who turned professional Tuesday after winning an is not a named entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , turned professional Tuesday after is not a named entity ."
"The 20-year-old Woods "","" who turned professional Tuesday after winning an unprecedented third successive U.S. Amateur Championship "","" struggled on the front nine "","" bogeying the first and seventh holes and double-bogeying the par-four "","" 359-yard ninth hole .","TL;DR , "","" who is not a named entity ."
Cofinec plunges on H1 results .,"TL;DR , Cofinec is an organization entity ."
Cofinec plunges on H1 results .,"TL;DR , results is not a named entity ."
Cofinec plunges on H1 results .,"TL;DR , . is not a named entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , France is a location entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , Belgium is a location entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , not afford a slip-up at home is not a named entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , Belgium could not afford a is not a named entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , 1998 finals in France "","" Belgium is not a named entity ."
"With only the group seven winners qualifying automatically for the 1998 finals in France "","" Belgium could not afford a slip-up at home and they frantically chased a decisive third goal .","TL;DR , not afford a slip-up at home and is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , Wall Street is a location entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , Washington is a location entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , will balance the budget is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , from this year 's political season is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , some is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , win votes could upset Wall is not a named entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , William Tanui is a person entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , Kenya is a location entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , 3. William Tanui is not a named entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , William is not a named entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , 3. William Tanui ( Kenya ) is not a named entity ."
3. William Tanui ( Kenya ) 3:51.40,"TL;DR , 3. William Tanui ( Kenya ) 3:51.40 is not a named entity ."
"But during his period in office he has battled against nationalist opponents "","" trade unions and parliament and Sharetsky said the current parliament was ready to try to impeach him .","TL;DR , Sharetsky is a person entity ."
"But during his period in office he has battled against nationalist opponents "","" trade unions and parliament and Sharetsky said the current parliament was ready to try to impeach him .","TL;DR , in office he has is not a named entity ."
